"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","test_create_user","tests.api","Mon Jul 28 21:31:44 GMT 2025","passed","Mon Jul 28 21:31:44 GMT 2025","","test_create_user","",""
"","199","test_get_user_not_found","tests.api","Mon Jul 28 21:31:45 GMT 2025","passed","Mon Jul 28 21:31:45 GMT 2025","","test_get_user_not_found","",""
"","328","test_get_resource","tests.api","Mon Jul 28 21:31:44 GMT 2025","passed","Mon Jul 28 21:31:45 GMT 2025","","test_get_resource","",""
"","3866","test_standard_user_with_enter[chromium]","tests.ui","Mon Jul 28 21:32:37 GMT 2025","passed","Mon Jul 28 21:32:41 GMT 2025","","test_login_successful","",""
"","118","test_update_user","tests.api","Mon Jul 28 21:31:45 GMT 2025","passed","Mon Jul 28 21:31:46 GMT 2025","","test_update_user","",""
"","3906","test_locked_out_user[chromium]","tests.ui","Mon Jul 28 21:32:22 GMT 2025","passed","Mon Jul 28 21:32:25 GMT 2025","","test_login_negative","",""
"","2969","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Mon Jul 28 21:32:26 GMT 2025","passed","Mon Jul 28 21:32:29 GMT 2025","","test_login_negative","",""
"","3616","test_standard_user[chromium]","tests.ui","Mon Jul 28 21:32:33 GMT 2025","passed","Mon Jul 28 21:32:37 GMT 2025","","test_login_successful","",""
"","9677","test_performance_glitch_user[chromium]","tests.ui","Mon Jul 28 21:32:41 GMT 2025","passed","Mon Jul 28 21:32:51 GMT 2025","","test_login_successful","",""
"","12832","test_e2e_2[chromium]","tests.ui","Mon Jul 28 21:32:08 GMT 2025","passed","Mon Jul 28 21:32:21 GMT 2025","","test_end_to_end_buy_items","",""
"","51","test_get_user_with_generator","tests.api","Mon Jul 28 21:31:45 GMT 2025","passed","Mon Jul 28 21:31:45 GMT 2025","","test_get_user_by_id","",""
"","309","test_login","tests.api","Mon Jul 28 21:31:45 GMT 2025","passed","Mon Jul 28 21:31:45 GMT 2025","","test_login_user","",""
"","323","test_delete_user","tests.api","Mon Jul 28 21:31:44 GMT 2025","passed","Mon Jul 28 21:31:44 GMT 2025","","test_delete_user","",""
"","243","test_get_users_list[1-200]","tests.api","Mon Jul 28 21:31:45 GMT 2025","passed","Mon Jul 28 21:31:45 GMT 2025","","test_get_users","",""
"","2469","test_password_is_missing[chromium]","tests.ui","Mon Jul 28 21:32:30 GMT 2025","passed","Mon Jul 28 21:32:33 GMT 2025","","test_login_negative","",""
"","56","test_get_users_list[2-200]","tests.api","Mon Jul 28 21:31:45 GMT 2025","passed","Mon Jul 28 21:31:45 GMT 2025","","test_get_users","",""
"","3420","test_visual_user[chromium]","tests.ui","Mon Jul 28 21:32:51 GMT 2025","passed","Mon Jul 28 21:32:55 GMT 2025","","test_login_successful","",""
"","12793","test_e2e_1[chromium]","tests.ui","Mon Jul 28 21:31:55 GMT 2025","passed","Mon Jul 28 21:32:08 GMT 2025","","test_end_to_end_buy_items","",""
"","1327","test_user_name_and_password_are_missing[chromium]","tests.ui","Mon Jul 28 21:32:29 GMT 2025","passed","Mon Jul 28 21:32:30 GMT 2025","","test_login_negative","",""
