"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12590","test_e2e_1[chromium]","tests.ui","Mon Jul 28 21:10:13 GMT 2025","passed","Mon Jul 28 21:10:26 GMT 2025","","test_end_to_end_buy_items","",""
"","349","test_get_users_list[2-200]","tests.api","Mon Jul 28 21:10:04 GMT 2025","passed","Mon Jul 28 21:10:05 GMT 2025","","test_get_users","",""
"","186","test_update_user","tests.api","Mon Jul 28 21:10:05 GMT 2025","passed","Mon Jul 28 21:10:05 GMT 2025","","test_update_user","",""
"","309","test_get_resource","tests.api","Mon Jul 28 21:10:03 GMT 2025","passed","Mon Jul 28 21:10:04 GMT 2025","","test_get_resource","",""
"","3627","test_standard_user[chromium]","tests.ui","Mon Jul 28 21:10:51 GMT 2025","passed","Mon Jul 28 21:10:55 GMT 2025","","test_login_successful","",""
"","2466","test_password_is_missing[chromium]","tests.ui","Mon Jul 28 21:10:48 GMT 2025","passed","Mon Jul 28 21:10:51 GMT 2025","","test_login_negative","",""
"","2967","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Mon Jul 28 21:10:44 GMT 2025","passed","Mon Jul 28 21:10:47 GMT 2025","","test_login_negative","",""
"","12854","test_e2e_2[chromium]","tests.ui","Mon Jul 28 21:10:26 GMT 2025","passed","Mon Jul 28 21:10:39 GMT 2025","","test_end_to_end_buy_items","",""
"","64","test_get_user_not_found","tests.api","Mon Jul 28 21:10:04 GMT 2025","passed","Mon Jul 28 21:10:04 GMT 2025","","test_get_user_not_found","",""
"","1339","test_user_name_and_password_are_missing[chromium]","tests.ui","Mon Jul 28 21:10:47 GMT 2025","passed","Mon Jul 28 21:10:48 GMT 2025","","test_login_negative","",""
"","3578","test_standard_user_with_enter[chromium]","tests.ui","Mon Jul 28 21:10:55 GMT 2025","passed","Mon Jul 28 21:10:59 GMT 2025","","test_login_successful","",""
"","319","test_delete_user","tests.api","Mon Jul 28 21:10:03 GMT 2025","passed","Mon Jul 28 21:10:03 GMT 2025","","test_delete_user","",""
"","320","test_get_users_list[1-200]","tests.api","Mon Jul 28 21:10:04 GMT 2025","passed","Mon Jul 28 21:10:04 GMT 2025","","test_get_users","",""
"","353","test_create_user","tests.api","Mon Jul 28 21:10:03 GMT 2025","passed","Mon Jul 28 21:10:03 GMT 2025","","test_create_user","",""
"","3394","test_visual_user[chromium]","tests.ui","Mon Jul 28 21:11:09 GMT 2025","passed","Mon Jul 28 21:11:12 GMT 2025","","test_login_successful","",""
"","9707","test_performance_glitch_user[chromium]","tests.ui","Mon Jul 28 21:10:59 GMT 2025","passed","Mon Jul 28 21:11:09 GMT 2025","","test_login_successful","",""
"","323","test_get_user_with_generator","tests.api","Mon Jul 28 21:10:04 GMT 2025","passed","Mon Jul 28 21:10:04 GMT 2025","","test_get_user_by_id","",""
"","368","test_login","tests.api","Mon Jul 28 21:10:05 GMT 2025","passed","Mon Jul 28 21:10:05 GMT 2025","","test_login_user","",""
"","3908","test_locked_out_user[chromium]","tests.ui","Mon Jul 28 21:10:40 GMT 2025","passed","Mon Jul 28 21:10:44 GMT 2025","","test_login_negative","",""
