"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","test_get_users_list[1-200]","tests.api","Mon Jul 28 21:19:33 GMT 2025","passed","Mon Jul 28 21:19:34 GMT 2025","","test_get_users","",""
"","310","test_delete_user","tests.api","Mon Jul 28 21:19:32 GMT 2025","passed","Mon Jul 28 21:19:33 GMT 2025","","test_delete_user","",""
"","390","test_get_user_with_generator","tests.api","Mon Jul 28 21:19:33 GMT 2025","passed","Mon Jul 28 21:19:33 GMT 2025","","test_get_user_by_id","",""
"","9619","test_performance_glitch_user[chromium]","tests.ui","Mon Jul 28 21:20:29 GMT 2025","passed","Mon Jul 28 21:20:39 GMT 2025","","test_login_successful","",""
"","12847","test_e2e_2[chromium]","tests.ui","Mon Jul 28 21:19:57 GMT 2025","passed","Mon Jul 28 21:20:10 GMT 2025","","test_end_to_end_buy_items","",""
"","1341","test_user_name_and_password_are_missing[chromium]","tests.ui","Mon Jul 28 21:20:17 GMT 2025","passed","Mon Jul 28 21:20:19 GMT 2025","","test_login_negative","",""
"","2947","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Mon Jul 28 21:20:14 GMT 2025","passed","Mon Jul 28 21:20:17 GMT 2025","","test_login_negative","",""
"","2431","test_password_is_missing[chromium]","tests.ui","Mon Jul 28 21:20:19 GMT 2025","passed","Mon Jul 28 21:20:21 GMT 2025","","test_login_negative","",""
"","326","test_get_resource","tests.api","Mon Jul 28 21:19:33 GMT 2025","passed","Mon Jul 28 21:19:33 GMT 2025","","test_get_resource","",""
"","28","test_get_user_not_found","tests.api","Mon Jul 28 21:19:33 GMT 2025","passed","Mon Jul 28 21:19:33 GMT 2025","","test_get_user_not_found","",""
"","3400","test_visual_user[chromium]","tests.ui","Mon Jul 28 21:20:39 GMT 2025","passed","Mon Jul 28 21:20:43 GMT 2025","","test_login_successful","",""
"","3911","test_locked_out_user[chromium]","tests.ui","Mon Jul 28 21:20:10 GMT 2025","passed","Mon Jul 28 21:20:14 GMT 2025","","test_login_negative","",""
"","3566","test_standard_user_with_enter[chromium]","tests.ui","Mon Jul 28 21:20:26 GMT 2025","passed","Mon Jul 28 21:20:29 GMT 2025","","test_login_successful","",""
"","361","test_create_user","tests.api","Mon Jul 28 21:19:32 GMT 2025","passed","Mon Jul 28 21:19:32 GMT 2025","","test_create_user","",""
"","308","test_login","tests.api","Mon Jul 28 21:19:34 GMT 2025","passed","Mon Jul 28 21:19:34 GMT 2025","","test_login_user","",""
"","12722","test_e2e_1[chromium]","tests.ui","Mon Jul 28 21:19:44 GMT 2025","passed","Mon Jul 28 21:19:57 GMT 2025","","test_end_to_end_buy_items","",""
"","337","test_update_user","tests.api","Mon Jul 28 21:19:34 GMT 2025","passed","Mon Jul 28 21:19:34 GMT 2025","","test_update_user","",""
"","311","test_get_users_list[2-200]","tests.api","Mon Jul 28 21:19:34 GMT 2025","passed","Mon Jul 28 21:19:34 GMT 2025","","test_get_users","",""
"","3631","test_standard_user[chromium]","tests.ui","Mon Jul 28 21:20:22 GMT 2025","passed","Mon Jul 28 21:20:25 GMT 2025","","test_login_successful","",""
