"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9593","test_performance_glitch_user[chromium]","tests.ui","Tue Jul 29 09:13:36 GMT 2025","passed","Tue Jul 29 09:13:45 GMT 2025","","test_login_successful","",""
"","1297","test_user_name_and_password_are_missing[chromium]","tests.ui","Tue Jul 29 09:13:24 GMT 2025","passed","Tue Jul 29 09:13:25 GMT 2025","","test_login_negative","",""
"","48","test_get_users_list[1-200]","tests.api","Tue Jul 29 09:12:40 GMT 2025","passed","Tue Jul 29 09:12:40 GMT 2025","","test_get_users","",""
"","12784","test_e2e_2[chromium]","tests.ui","Tue Jul 29 09:13:04 GMT 2025","passed","Tue Jul 29 09:13:16 GMT 2025","","test_end_to_end_buy_items","",""
"","174","test_login","tests.api","Tue Jul 29 09:12:41 GMT 2025","passed","Tue Jul 29 09:12:41 GMT 2025","","test_login_user","",""
"","3875","test_locked_out_user[chromium]","tests.ui","Tue Jul 29 09:13:17 GMT 2025","passed","Tue Jul 29 09:13:21 GMT 2025","","test_login_negative","",""
"","31","test_get_user_not_found","tests.api","Tue Jul 29 09:12:40 GMT 2025","passed","Tue Jul 29 09:12:40 GMT 2025","","test_get_user_not_found","",""
"","3626","test_standard_user[chromium]","tests.ui","Tue Jul 29 09:13:28 GMT 2025","passed","Tue Jul 29 09:13:32 GMT 2025","","test_login_successful","",""
"","2931","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Tue Jul 29 09:13:21 GMT 2025","passed","Tue Jul 29 09:13:24 GMT 2025","","test_login_negative","",""
"","111","test_delete_user","tests.api","Tue Jul 29 09:12:40 GMT 2025","passed","Tue Jul 29 09:12:40 GMT 2025","","test_delete_user","",""
"","3564","test_standard_user_with_enter[chromium]","tests.ui","Tue Jul 29 09:13:32 GMT 2025","passed","Tue Jul 29 09:13:36 GMT 2025","","test_login_successful","",""
"","159","test_create_user","tests.api","Tue Jul 29 09:12:40 GMT 2025","passed","Tue Jul 29 09:12:40 GMT 2025","","test_create_user","",""
"","186","test_get_resource","tests.api","Tue Jul 29 09:12:40 GMT 2025","passed","Tue Jul 29 09:12:40 GMT 2025","","test_get_resource","",""
"","12606","test_e2e_1[chromium]","tests.ui","Tue Jul 29 09:12:51 GMT 2025","passed","Tue Jul 29 09:13:03 GMT 2025","","test_end_to_end_buy_items","",""
"","3389","test_visual_user[chromium]","tests.ui","Tue Jul 29 09:13:46 GMT 2025","passed","Tue Jul 29 09:13:49 GMT 2025","","test_login_successful","",""
"","32","test_get_user_with_generator","tests.api","Tue Jul 29 09:12:40 GMT 2025","passed","Tue Jul 29 09:12:40 GMT 2025","","test_get_user_by_id","",""
"","181","test_update_user","tests.api","Tue Jul 29 09:12:41 GMT 2025","passed","Tue Jul 29 09:12:41 GMT 2025","","test_update_user","",""
"","37","test_get_users_list[2-200]","tests.api","Tue Jul 29 09:12:40 GMT 2025","passed","Tue Jul 29 09:12:41 GMT 2025","","test_get_users","",""
"","2438","test_password_is_missing[chromium]","tests.ui","Tue Jul 29 09:13:25 GMT 2025","passed","Tue Jul 29 09:13:28 GMT 2025","","test_login_negative","",""
