"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3014","test_user_name_or_password_is_incorrect[chromium]","tests.ui","Mon Jul 28 21:07:23 GMT 2025","passed","Mon Jul 28 21:07:26 GMT 2025","","test_login_negative","",""
"","12828","test_e2e_2[chromium]","tests.ui","Mon Jul 28 21:07:05 GMT 2025","passed","Mon Jul 28 21:07:18 GMT 2025","","test_end_to_end_buy_items","",""
"","70","test_get_user_not_found","tests.api","Mon Jul 28 21:06:41 GMT 2025","passed","Mon Jul 28 21:06:41 GMT 2025","","test_get_user_not_found","",""
"","3673","test_standard_user[chromium]","tests.ui","Mon Jul 28 21:07:30 GMT 2025","passed","Mon Jul 28 21:07:34 GMT 2025","","test_login_successful","",""
"","3481","test_visual_user[chromium]","tests.ui","Mon Jul 28 21:07:48 GMT 2025","passed","Mon Jul 28 21:07:52 GMT 2025","","test_login_successful","",""
"","1387","test_user_name_and_password_are_missing[chromium]","tests.ui","Mon Jul 28 21:07:26 GMT 2025","passed","Mon Jul 28 21:07:27 GMT 2025","","test_login_negative","",""
"","338","test_update_user","tests.api","Mon Jul 28 21:06:42 GMT 2025","passed","Mon Jul 28 21:06:43 GMT 2025","","test_update_user","",""
"","2490","test_password_is_missing[chromium]","tests.ui","Mon Jul 28 21:07:28 GMT 2025","passed","Mon Jul 28 21:07:30 GMT 2025","","test_login_negative","",""
"","393","test_get_users_list[1-200]","tests.api","Mon Jul 28 21:06:41 GMT 2025","passed","Mon Jul 28 21:06:42 GMT 2025","","test_get_users","",""
"","404","test_delete_user","tests.api","Mon Jul 28 21:06:40 GMT 2025","passed","Mon Jul 28 21:06:41 GMT 2025","","test_delete_user","",""
"","250","test_create_user","tests.api","Mon Jul 28 21:06:40 GMT 2025","passed","Mon Jul 28 21:06:40 GMT 2025","","test_create_user","",""
"","13053","test_e2e_1[chromium]","tests.ui","Mon Jul 28 21:06:52 GMT 2025","passed","Mon Jul 28 21:07:05 GMT 2025","","test_end_to_end_buy_items","",""
"","3650","test_standard_user_with_enter[chromium]","tests.ui","Mon Jul 28 21:07:34 GMT 2025","passed","Mon Jul 28 21:07:38 GMT 2025","","test_login_successful","",""
"","200","test_login","tests.api","Mon Jul 28 21:06:42 GMT 2025","passed","Mon Jul 28 21:06:42 GMT 2025","","test_login_user","",""
"","366","test_get_resource","tests.api","Mon Jul 28 21:06:41 GMT 2025","passed","Mon Jul 28 21:06:41 GMT 2025","","test_get_resource","",""
"","366","test_get_users_list[2-200]","tests.api","Mon Jul 28 21:06:42 GMT 2025","passed","Mon Jul 28 21:06:42 GMT 2025","","test_get_users","",""
"","3974","test_locked_out_user[chromium]","tests.ui","Mon Jul 28 21:07:19 GMT 2025","passed","Mon Jul 28 21:07:22 GMT 2025","","test_login_negative","",""
"","409","test_get_user_with_generator","tests.api","Mon Jul 28 21:06:41 GMT 2025","passed","Mon Jul 28 21:06:41 GMT 2025","","test_get_user_by_id","",""
"","9710","test_performance_glitch_user[chromium]","tests.ui","Mon Jul 28 21:07:38 GMT 2025","passed","Mon Jul 28 21:07:48 GMT 2025","","test_login_successful","",""
